Province,Regency/City,Year,"Orange, pomelo",Mango,Apple,Rambutan,"Duku, langsat",Durian,Snakefruit,Ambon banana,Papaya,Watermelon,Tomato,Avocado,Guava
Aceh,Simeulue,2021,43.0,6.0,3.0,9.0,3.0,,12.0,4.0,29.0,20.0,15.0,,
Aceh,Aceh Singkil,2021,212.0,11.0,20.0,2.0,4.0,,118.0,11.0,35.0,149.0,3.0,,
Aceh,Aceh Selatan,2021,128.0,6.0,9.0,,2.0,,77.0,8.0,40.0,63.0,140.0,,
Aceh,Aceh Tenggara,2021,133.0,8.0,10.0,,,,58.0,13.0,30.0,48.0,65.0,,
Aceh,Aceh Timur,2021,128.0,5.0,7.0,1.0,9.0,,51.0,2.0,25.0,122.0,1.0,,
Aceh,Aceh Tengah,2021,115.0,23.0,20.0,22.0,2.0,46.0,54.0,25.0,54.0,74.0,90.0,,
Aceh,Aceh Barat,2021,143.0,13.0,44.0,,14.0,,111.0,12.0,148.0,106.0,132.0,,
Aceh,Aceh Besar,2021,140.0,18.0,14.0,2.0,,5.0,66.0,14.0,41.0,56.0,1.0,,
Aceh,Pidie,2021,121.0,18.0,12.0,15.0,7.0,3.0,69.0,11.0,28.0,19.0,,,
Aceh,Bireuen,2021,158.0,16.0,23.0,32.0,8.0,24.0,95.0,8.0,53.0,39.0,98.0,,
Aceh,Aceh Utara,2021,104.0,17.0,7.0,2.0,1.0,2.0,48.0,1.0,11.0,68.0,33.0,,
Aceh,Aceh Barat Daya,2021,102.0,4.0,7.0,,2.0,,68.0,5.0,24.0,53.0,123.0,,
Aceh,Gayo Lues,2021,162.0,16.0,39.0,27.0,14.0,,124.0,16.0,55.0,58.0,19.0,,
Aceh,Aceh Tamiang,2021,146.0,5.0,12.0,,3.0,1.0,40.0,2.0,16.0,84.0,63.0,,
Aceh,Nagan Raya,2021,162.0,14.0,16.0,10.0,18.0,,116.0,6.0,53.0,112.0,97.0,,
Aceh,Aceh Jaya,2021,123.0,13.0,19.0,6.0,3.0,,113.0,20.0,85.0,120.0,107.0,,
Aceh,Bener Meriah,2021,102.0,25.0,22.0,21.0,5.0,92.0,68.0,15.0,25.0,62.0,127.0,,
Aceh,Pidie Jaya,2021,154.0,19.0,27.0,26.0,14.0,3.0,89.0,8.0,41.0,20.0,,,
Aceh,Kota Banda Aceh,2021,126.0,46.0,26.0,,,4.0,43.0,6.0,83.0,85.0,45.0,,
Aceh,Kota Sabang,2021,108.0,40.0,19.0,5.0,2.0,,30.0,7.0,81.0,60.0,,,
Aceh,Kota Langsa,2021,117.0,10.0,20.0,3.0,4.0,1.0,49.0,5.0,49.0,125.0,91.0,,
Aceh,Kota Lhokseumawe,2021,131.0,28.0,26.0,2.0,2.0,3.0,82.0,3.0,48.0,86.0,92.0,,
Aceh,Kota Subulussalam,2021,213.0,13.0,21.0,,5.0,,99.0,8.0,21.0,70.0,131.0,,
Sumatera Utara,Nias,2021,16.0,,3.0,,,,3.0,30.0,23.0,9.0,,,
Sumatera Utara,Mandailing Natal,2021,84.0,8.0,11.0,6.0,2.0,7.0,69.0,12.0,63.0,34.0,,,
Sumatera Utara,Tapanuli Selatan,2021,104.0,6.0,13.0,2.0,,25.0,83.0,17.0,76.0,38.0,3.0,,
Sumatera Utara,Tapanuli Tengah,2021,84.0,,9.0,,,,59.0,28.0,52.0,17.0,116.0,,
Sumatera Utara,Tapanuli Utara,2021,150.0,3.0,24.0,2.0,1.0,25.0,58.0,17.0,36.0,5.0,177.0,,
Sumatera Utara,Toba Samosir,2021,210.0,7.0,22.0,2.0,4.0,45.0,68.0,26.0,53.0,16.0,195.0,,
Sumatera Utara,Labuhan Batu,2021,121.0,5.0,7.0,,1.0,2.0,57.0,4.0,17.0,56.0,62.0,,
Sumatera Utara,Asahan,2021,200.0,7.0,10.0,,1.0,8.0,39.0,7.0,36.0,65.0,94.0,,
Sumatera Utara,Simalungun,2021,171.0,5.0,14.0,,1.0,12.0,23.0,5.0,67.0,67.0,89.0,,
Sumatera Utara,Dairi,2021,109.0,2.0,11.0,,,,37.0,38.0,46.0,11.0,35.0,,
Sumatera Utara,Karo,2021,128.0,10.0,48.0,5.0,7.0,4.0,60.0,17.0,42.0,70.0,21.0,,
Sumatera Utara,Deli Serdang,2021,174.0,12.0,19.0,1.0,,4.0,33.0,4.0,95.0,94.0,6.0,,
Sumatera Utara,Langkat,2021,134.0,5.0,14.0,1.0,5.0,,36.0,5.0,53.0,70.0,1.0,,
Sumatera Utara,Nias Selatan,2021,8.0,,5.0,,1.0,,4.0,26.0,35.0,6.0,2.0,,
Sumatera Utara,Humbang Hasundutan,2021,171.0,1.0,17.0,,1.0,2.0,71.0,29.0,36.0,18.0,223.0,,
Sumatera Utara,Pakpak Bharat,2021,68.0,1.0,13.0,,1.0,7.0,59.0,16.0,69.0,9.0,158.0,,
Sumatera Utara,Samosir,2021,150.0,6.0,12.0,1.0,1.0,22.0,38.0,28.0,62.0,7.0,21.0,,
Sumatera Utara,Serdang Bedagai,2021,189.0,9.0,16.0,1.0,,,38.0,1.0,33.0,127.0,87.0,,
Sumatera Utara,Batu Bara,2021,138.0,9.0,15.0,,1.0,6.0,38.0,2.0,19.0,40.0,115.0,,
Sumatera Utara,Padang Lawas Utara,2021,113.0,5.0,8.0,1.0,6.0,17.0,110.0,6.0,22.0,18.0,69.0,,
Sumatera Utara,Padang Lawas,2021,107.0,6.0,15.0,,8.0,13.0,102.0,8.0,21.0,32.0,25.0,,
Sumatera Utara,Labuhan Batu Selatan,2021,135.0,6.0,14.0,2.0,3.0,9.0,81.0,5.0,25.0,47.0,78.0,,
Sumatera Utara,Labuhan Batu Utara,2021,150.0,21.0,11.0,,,6.0,77.0,8.0,28.0,75.0,94.0,,
Sumatera Utara,Nias Utara,2021,11.0,,2.0,2.0,5.0,,2.0,47.0,25.0,5.0,3.0,,
Sumatera Utara,Nias Barat,2021,12.0,3.0,4.0,,2.0,,2.0,13.0,17.0,7.0,,,
Sumatera Utara,Kota Sibolga,2021,86.0,4.0,11.0,,2.0,,34.0,21.0,88.0,34.0,154.0,,
Sumatera Utara,Kota Tanjung Balai,2021,148.0,34.0,14.0,4.0,4.0,2.0,52.0,5.0,70.0,89.0,148.0,,
Sumatera Utara,Kota Pematang Siantar,2021,166.0,7.0,28.0,3.0,1.0,21.0,27.0,36.0,143.0,91.0,118.0,,
Sumatera Utara,Kota Tebing Tinggi,2021,140.0,14.0,20.0,,,15.0,31.0,4.0,83.0,79.0,3.0,,
Sumatera Utara,Kota Medan,2021,174.0,20.0,42.0,,4.0,10.0,17.0,6.0,114.0,83.0,9.0,,
Sumatera Utara,Kota Binjai,2021,89.0,4.0,25.0,,3.0,1.0,28.0,5.0,86.0,83.0,8.0,,
Sumatera Utara,Kota Padangsidimpuan,2021,103.0,12.0,16.0,3.0,1.0,37.0,74.0,6.0,99.0,32.0,91.0,,
Sumatera Utara,Kota Gunungsitoli,2021,35.0,,9.0,,1.0,,8.0,60.0,48.0,23.0,2.0,,
Sumatera Barat,Kepulauan Mentawai,2021,52.0,15.0,11.0,1.0,,,6.0,34.0,50.0,19.0,4.0,,
Sumatera Barat,Pesisir Selatan,2021,113.0,11.0,7.0,2.0,1.0,4.0,25.0,23.0,83.0,56.0,33.0,,
Sumatera Barat,Solok,2021,105.0,3.0,8.0,1.0,4.0,1.0,63.0,10.0,92.0,20.0,72.0,,
Sumatera Barat,Sijunjung,2021,115.0,6.0,8.0,3.0,9.0,19.0,66.0,32.0,70.0,63.0,2.0,,
Sumatera Barat,Tanah Datar,2021,159.0,5.0,13.0,3.0,3.0,14.0,51.0,55.0,84.0,46.0,10.0,,
Sumatera Barat,Padang Pariaman,2021,131.0,6.0,12.0,2.0,13.0,22.0,35.0,22.0,90.0,36.0,31.0,,
Sumatera Barat,Agam,2021,128.0,6.0,8.0,1.0,1.0,13.0,52.0,43.0,97.0,25.0,7.0,,
Sumatera Barat,Lima Puluh Kota,2021,113.0,2.0,7.0,2.0,4.0,9.0,59.0,40.0,157.0,34.0,2.0,,
Sumatera Barat,Pasaman,2021,95.0,4.0,5.0,1.0,1.0,,69.0,13.0,74.0,35.0,8.0,,
Sumatera Barat,Solok Selatan,2021,110.0,9.0,9.0,16.0,2.0,60.0,66.0,45.0,64.0,69.0,35.0,,
Sumatera Barat,Dharmasraya,2021,128.0,3.0,16.0,5.0,3.0,,63.0,52.0,111.0,54.0,1.0,,
Sumatera Barat,Pasaman Barat,2021,75.0,4.0,10.0,3.0,1.0,7.0,85.0,27.0,109.0,46.0,7.0,,
Sumatera Barat,Kota Padang,2021,156.0,9.0,12.0,1.0,,7.0,22.0,37.0,168.0,43.0,5.0,,
Sumatera Barat,Kota Solok,2021,155.0,11.0,10.0,2.0,34.0,4.0,36.0,75.0,153.0,42.0,7.0,,
Sumatera Barat,Kota Sawah Lunto,2021,165.0,12.0,14.0,,3.0,5.0,59.0,100.0,84.0,43.0,8.0,,
Sumatera Barat,Kota Padang Panjang,2021,153.0,12.0,31.0,1.0,1.0,1.0,54.0,47.0,118.0,38.0,18.0,,
Sumatera Barat,Kota Bukittinggi,2021,200.0,9.0,26.0,,8.0,2.0,58.0,39.0,103.0,50.0,1.0,,
Sumatera Barat,Kota Payakumbuh,2021,152.0,6.0,13.0,1.0,6.0,2.0,43.0,120.0,160.0,46.0,8.0,,
Sumatera Barat,Kota Pariaman,2021,170.0,6.0,15.0,1.0,17.0,13.0,74.0,53.0,166.0,51.0,10.0,,
Riau,Kuantan Singingi,2021,124.0,12.0,10.0,2.0,13.0,1.0,76.0,14.0,63.0,34.0,3.0,,
Riau,Indragiri Hulu,2021,116.0,17.0,14.0,1.0,4.0,1.0,61.0,13.0,42.0,76.0,6.0,,
Riau,Indragiri Hilir,2021,103.0,16.0,9.0,3.0,10.0,1.0,48.0,3.0,33.0,74.0,5.0,,
Riau,Pelalawan,2021,139.0,20.0,16.0,4.0,9.0,3.0,71.0,11.0,57.0,83.0,26.0,,
Riau,Siak,2021,172.0,10.0,11.0,1.0,2.0,1.0,55.0,11.0,72.0,83.0,10.0,,
Riau,Kampar,2021,140.0,10.0,12.0,1.0,8.0,1.0,72.0,14.0,75.0,63.0,6.0,,
Riau,Rokan Hulu,2021,133.0,15.0,25.0,3.0,8.0,4.0,89.0,12.0,36.0,78.0,3.0,,
Riau,Bengkalis,2021,136.0,16.0,8.0,1.0,,2.0,39.0,11.0,68.0,55.0,8.0,,
Riau,Rokan Hilir,2021,152.0,10.0,16.0,5.0,3.0,2.0,97.0,8.0,19.0,73.0,24.0,,
Riau,Kepulauan Meranti,2021,71.0,25.0,10.0,1.0,1.0,,21.0,2.0,18.0,41.0,,,
Riau,Kota Pekanbaru,2021,131.0,25.0,25.0,,3.0,1.0,31.0,8.0,161.0,55.0,15.0,,
Riau,Kota Dumai,2021,138.0,24.0,15.0,,8.0,1.0,35.0,6.0,71.0,56.0,54.0,,
Jambi,Kerinci,2021,124.0,4.0,20.0,12.0,14.0,11.0,76.0,24.0,82.0,35.0,47.0,,
Jambi,Merangin,2021,87.0,4.0,5.0,8.0,6.0,4.0,39.0,21.0,38.0,64.0,6.0,,
Jambi,Sarolangun,2021,90.0,6.0,14.0,8.0,9.0,,27.0,20.0,31.0,81.0,12.0,,
Jambi,Batang Hari,2021,127.0,5.0,10.0,1.0,,,37.0,18.0,26.0,63.0,19.0,,
