38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Buah-buahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpukat (Ton),,Belimbing (Ton),,Duku/Langsat/Kokosan (Ton),,Durian (Ton),,Jambu Biji (Ton),,Jambu Air (Ton),,Jeruk Siam/Keprok (Ton),,Jeruk Besar (Ton),,Mangga (Ton),,Manggis (Ton),,Nangka/Cempedak (Ton),,Nenas (Ton),,Pepaya (Ton),,Pisang (Ton),,Rambutan (Ton),,Salak (Ton),,Sawo (Ton),,Markisa/Konyal (Ton),,Sirsak (Ton),,Sukun (Ton),,Melon (Ton),,Semangka (Ton),,Blewah (Ton),,Apel (Ton),,Anggur (Ton),,Stroberi (Ton),
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
ACEH,44484,85794,1202,1979,6814,10087,45915,56662,12144,8508,5445,5423,12319,25926,10221,8063,21782,34516,3371,3149,8411,15106,734,21437,32041,41048,108643,107195,38813,40173,430,1120,4732,4245,-,-,1289,1193,2022,1542,343,559,7725,5120,-,-,79,81,-,-,60,20
SUMATERA UTARA,35378,50511,6447,7235,24308,17714,119632,119371,15634,14229,18587,16329,448211,398064,322,311,46162,48868,25821,25972,15907,16178,165063,165080,50232,35241,121364,164533,34655,26416,292881,265180,18633,23890,-,-,2650,4674,1775,3612,1754,2113,19899,29418,-,-,-,-,3,3,83,110
SUMATERA BARAT,84083,112723,975,888,7676,8183,170707,219638,9335,6955,16996,7517,118578,117494,646,374,17066,20392,69656,95014,14254,13266,414,560,41499,36685,152732,158698,34541,35291,3608,1361,14916,13428,-,-,10030,11232,3696,3315,1985,849,20283,11912,-,-,17,29,1,3,274,99
RIAU,1714,1686,2439,2442,7595,3970,30114,30039,10235,11987,9039,8874,58787,47437,760,653,19737,15241,11694,11282,20424,18467,354878,261769,22470,24403,48901,55207,40510,26866,3202,4828,5752,3932,-,-,1601,1336,2298,2303,757,1255,16046,17539,-,-,-,-,10,49,-,-
JAMBI,10489,12885,1438,974,18072,12368,26209,22183,4707,4386,4587,4082,45766,88886,190,160,7673,6034,10541,15648,16588,14128,32756,119862,17984,13708,69258,45555,7857,6132,8235,5030,4263,3851,-,-,2605,2188,3085,3208,485,867,4979,5849,-,-,-,-,2,10,9,12
SUMATERA SELATAN,15927,53149,1367,1452,67476,17573,46309,40615,7373,5532,11316,14367,71678,44468,465,57,20324,18373,2700,1702,13190,12576,476074,567120,28500,19409,354143,334145,18500,11682,1764,2385,9662,6000,-,-,1696,1426,3828,2870,2101,1928,14385,16947,-,-,3,-,1,10,21,169
BENGKULU,6877,8993,312,394,242,1323,18639,27969,1614,2530,984,1160,22732,30239,-,4,6392,10093,5048,8239,4578,5593,385,381,7542,12912,22492,91550,4942,8840,2057,6819,1609,1653,-,-,474,494,398,697,270,402,604,809,-,-,-,48,5,31,57,74
LAMPUNG,24008,22420,4106,2995,8911,10410,20394,27590,11438,18830,7624,16080,79981,72777,472,417,24609,15620,20496,3483,84885,53373,705883,861706,87378,39226,1123240,1223009,17273,22899,7984,9790,14344,11820,-,-,2883,2506,8082,6117,676,822,18320,19442,-,-,-,-,17,73,-,-
