Province,Year,Avocado,Star Fruit,Duku,Durian,Guava,Rose Apple,Orange/Tangerine,Pomelo,Mango,Mangosteen,Jackfruit,Pineapple,Papaya,Banana,Rambutan,Salacca,Sapodilla/Star Apple,Soursop,Breadfruit,Melon,Watermelon,Apple,Grape,Strawberry
Aceh,2021,44484.0,1202.0,6814.0,45915.0,12144.0,5445.0,12319.0,10221.0,21782.0,3371.0,8411.0,734.0,32041.0,108643.0,38813.0,430.0,4732.0,1289.0,2022.0,343.0,7725.0,79.0,,60.0
Sumatera Utara,2021,35378.0,6447.0,24308.0,119632.0,15634.0,18587.0,448211.0,322.0,46162.0,25821.0,15907.0,165063.0,50232.0,121364.0,34655.0,292881.0,18633.0,2650.0,1775.0,1754.0,19899.0,,3.0,83.0
Sumatera Barat,2021,84083.0,975.0,7676.0,170707.0,9335.0,16996.0,118578.0,646.0,17066.0,69656.0,14254.0,414.0,41499.0,152732.0,34541.0,3608.0,14916.0,10030.0,3696.0,1985.0,20283.0,17.0,1.0,274.0
Riau,2021,1714.0,2439.0,7595.0,30114.0,10235.0,9039.0,58787.0,760.0,19737.0,11694.0,20424.0,354878.0,22470.0,48901.0,40510.0,3202.0,5752.0,1601.0,2298.0,757.0,16046.0,,10.0,
Jambi,2021,10489.0,1438.0,18072.0,26209.0,4707.0,4587.0,45766.0,190.0,7673.0,10541.0,16588.0,32756.0,17984.0,69258.0,7857.0,8235.0,4263.0,2605.0,3085.0,485.0,4979.0,,2.0,9.0
Sumatera Selatan,2021,15927.0,1367.0,67476.0,46309.0,7373.0,11316.0,71678.0,465.0,20324.0,2700.0,13190.0,476074.0,28500.0,354143.0,18500.0,1764.0,9662.0,1696.0,3828.0,2101.0,14385.0,3.0,1.0,21.0
Bengkulu,2021,6877.0,312.0,242.0,18639.0,1614.0,984.0,22732.0,,6392.0,5048.0,4578.0,385.0,7542.0,22492.0,4942.0,2057.0,1609.0,474.0,398.0,270.0,604.0,,5.0,57.0
Lampung,2021,24008.0,4106.0,8911.0,20394.0,11438.0,7624.0,79981.0,472.0,24609.0,20496.0,84885.0,705883.0,87378.0,1123240.0,17273.0,7984.0,14344.0,2883.0,8082.0,676.0,18320.0,,17.0,
Kep. Bangka Belitung,2021,1509.0,116.0,852.0,6212.0,640.0,1357.0,1583.0,8.0,2237.0,398.0,2659.0,6827.0,2517.0,6980.0,3044.0,1006.0,536.0,124.0,517.0,266.0,2268.0,,,
Kep. Riau,2021,93.0,66.0,296.0,2714.0,415.0,308.0,163.0,9.0,1412.0,307.0,1795.0,5569.0,1296.0,2724.0,2551.0,5616.0,157.0,172.0,317.0,13.0,1601.0,,,
DKI Jakarta,2021,1698.0,3040.0,19.0,223.0,975.0,2557.0,435.0,11.0,9122.0,,710.0,,1467.0,3302.0,6921.0,17.0,251.0,106.0,744.0,5.0,,,3.0,
Jawa Barat,2021,110046.0,8769.0,9091.0,86785.0,69249.0,23585.0,51554.0,4829.0,444073.0,32160.0,79322.0,276195.0,124466.0,1649228.0,171069.0,20704.0,18643.0,14620.0,28076.0,1028.0,6841.0,,61.0,6458.0
Jawa Tengah,2021,75707.0,18878.0,15125.0,159199.0,111674.0,46212.0,22884.0,17829.0,457674.0,8784.0,159155.0,344852.0,142034.0,804262.0,121619.0,432097.0,21463.0,22131.0,36782.0,24135.0,57953.0,22.0,105.0,1165.0
DI Yogyakarta,2021,10931.0,667.0,2596.0,9258.0,4849.0,4944.0,2726.0,118.0,33456.0,2782.0,15238.0,566.0,14653.0,68257.0,16286.0,57296.0,3906.0,1506.0,8359.0,14550.0,5184.0,,21.0,1.0
Jawa Timur,2021,158581.0,75970.0,16407.0,275319.0,83404.0,23092.0,822260.0,29177.0,1192896.0,31677.0,182741.0,198773.0,253700.0,2048948.0,123200.0,210587.0,18529.0,24475.0,25542.0,68527.0,138245.0,509367.0,775.0,838.0
Banten,2021,1444.0,1449.0,2023.0,29456.0,5164.0,4857.0,975.0,69.0,22713.0,4934.0,5930.0,388.0,19840.0,284683.0,31396.0,921.0,2295.0,3948.0,7667.0,169.0,837.0,,8.0,6.0
Bali,2021,5123.0,477.0,2478.0,25743.0,3637.0,1437.0,240636.0,981.0,55166.0,24820.0,27931.0,630.0,12554.0,382536.0,23367.0,27080.0,3242.0,254.0,330.0,202.0,12818.0,1.0,10234.0,291.0
Nusa Tenggara Barat,2021,8889.0,724.0,1090.0,40084.0,20629.0,3160.0,5454.0,829.0,131394.0,24850.0,55821.0,83463.0,22918.0,118234.0,25074.0,105.0,13128.0,49039.0,810.0,2668.0,21866.0,18.0,852.0,43.0
Nusa Tenggara Timur,2021,34638.0,664.0,15.0,3714.0,15167.0,1696.0,56817.0,1846.0,87304.0,18.0,26673.0,11241.0,103647.0,256741.0,7889.0,2472.0,1040.0,4552.0,3086.0,444.0,2022.0,36.0,7.0,162.0
Kalimantan Barat,2021,1667.0,1355.0,8677.0,37188.0,3343.0,3327.0,72557.0,371.0,10768.0,8542.0,12819.0,119471.0,14265.0,140634.0,18511.0,1900.0,5880.0,2256.0,2526.0,567.0,4532.0,,,
Kalimantan Tengah,2021,895.0,1627.0,882.0,8239.0,4589.0,3223.0,9463.0,183.0,2690.0,602.0,15520.0,15313.0,6658.0,44578.0,14924.0,1312.0,1915.0,1283.0,2333.0,762.0,14833.0,,,312.0
Kalimantan Selatan,2021,58.0,764.0,7285.0,28825.0,2246.0,994.0,113194.0,376.0,7298.0,1440.0,28859.0,14307.0,8493.0,65485.0,17915.0,1416.0,1550.0,1264.0,3639.0,1148.0,18830.0,,,
Kalimantan Timur,2021,674.0,948.0,3605.0,13440.0,2140.0,1360.0,11301.0,292.0,5133.0,131.0,32819.0,55171.0,24068.0,130656.0,11329.0,7508.0,1809.0,1046.0,1897.0,468.0,4047.0,,,
Kalimantan Utara,2021,85.0,285.0,6001.0,8436.0,416.0,754.0,7046.0,98.0,8614.0,103.0,21788.0,859.0,34593.0,110526.0,13789.0,5664.0,104.0,595.0,651.0,440.0,1456.0,,1.0,
Sulawesi Utara,2021,8697.0,636.0,3958.0,18327.0,4235.0,1478.0,1172.0,52.0,23199.0,3200.0,7132.0,2101.0,22324.0,100298.0,16551.0,3064.0,,2951.0,1103.0,753.0,743.0,,,
Sulawesi Tengah,2021,10478.0,317.0,4796.0,41273.0,776.0,894.0,2235.0,66.0,12802.0,1826.0,4628.0,1164.0,7307.0,27378.0,9872.0,787.0,261.0,398.0,470.0,1296.0,3798.0,,40.0,1.0
Sulawesi Selatan,2021,8972.0,598.0,12789.0,34070.0,11139.0,2194.0,9315.0,41330.0,116175.0,3330.0,26499.0,2132.0,25571.0,161550.0,28493.0,10856.0,500.0,2138.0,15074.0,468.0,6335.0,,1.0,66.0
Sulawesi Tenggara,2021,1093.0,330.0,1624.0,12886.0,1398.0,1423.0,22220.0,408.0,12405.0,789.0,6238.0,9073.0,10503.0,41610.0,8300.0,1050.0,302.0,968.0,1867.0,324.0,1190.0,,17.0,13.0
Gorontalo,2021,24.0,12.0,54.0,4381.0,19.0,,23305.0,119.0,1900.0,,942.0,92.0,1209.0,6938.0,1828.0,9.0,,4.0,8.0,89.0,136.0,,,
Sulawesi Barat,2021,312.0,100.0,4223.0,14653.0,415.0,325.0,18933.0,99.0,10548.0,1685.0,3000.0,430.0,5210.0,77487.0,4382.0,84.0,67.0,143.0,793.0,2.0,164.0,,,
Maluku,2021,2143.0,556.0,1675.0,8091.0,1188.0,1123.0,12029.0,343.0,7542.0,923.0,5092.0,458.0,11076.0,55382.0,1091.0,3691.0,18.0,832.0,2690.0,308.0,797.0,,,
